ZV,ZV,Current,cRIO-01C4243B.CM5.Ch15,ad49b8c7-883a-4945-9674-3e90e87faf3b
ZW,ZW,Current,cRIO-01C4243B.CM5.Ch7,65022daf-e845-4a45-9f7c-063c2269076d
Bed Z Left R ad,Bed Z Left R ad,Temperature,cRIO-01C4243B.TM4.Ch4,0c903679-5ccc-4485-b310-909aae46f4f0
Bed Z right rear,Bed Z right rear,Temperature,cRIO-01C4243D.TM3.Ch4,a96a65ce-1cb1-4a1b-8412-e7134cd242a0
NUTX,NUTX,Temperature,cRIO-01C4243B.TM4.Ch1,bd4b9f9e-f510-4f4c-b105-170588e2ace1
Ball Z,NUTZ,Temperature,cRIO-01C4243B.TM4.Ch3,f9c0772d-ba7d-4fb9-995b-f401362f987e
Shoe X left down,Shoe X left down,Temperature,cRIO-01C4243D.TM2.Ch1,775ffafb-3e62-4265-9a29-e9044cd3ee20
Shoe X left up,Shoe X left up,Temperature,cRIO-01C4243D.TM3.Ch1,d22cd10b-0f33-4414-b9e4-b73b641aec4b
Shoe X right down,Shoe X right down,Temperature,cRIO-01C4243D.TM2.Ch1,7a16a481-22a1-415e-9a27-c0c2902b270d
Shoe X right up,Shoe X right up,Temperature,cRIO-01C4243D.TM3.Ch3,ae44b921-24e6-4e1f-8504-f7a82cf5c2b4
Shoe Z left front,Shoe Z left front,Temperature,cRIO-01C4243D.TM3.Ch2,b364997a-5027-4cb7-91cc-30d7f29e76dd
Shoe Z left rear,Shoe Z left rear,Temperature,cRIO-01C4243D.TM2.Ch3,e4953553-ab82-4420-a8bb-a99473c9fd3e
Shoe Z Right Rear,Shoe Z Right Rear,Temperature,cRIO-01C4243B.TM4.Ch2,9c1866ce-16c1-4338-ad68-e3741182260d
Spindle,Spindle,Temperature,cRIO-01C4243D.TM2.Ch4,5215efd8-e86a-4ff1-b301-cbc61e24ae80
